Name,Age,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
Tanner Roark,28,1,5,2,0,0,0,0,0,9,.185,.185,1
Clint Robinson*,30,44,84,15,1,10,34,0,37,52,.272,.358,7
Sean Rodriguez,30,25,55,12,1,4,17,2,5,63,.246,.281,7
Jason Rogers,27,22,45,6,2,4,16,0,15,34,.296,.367,7
Miguel Rojas,26,13,40,7,1,1,17,0,11,16,.282,.329,6
Jimmy Rollins#,36,71,116,24,3,13,41,12,44,86,.224,.285,6
Wilin Rosario,26,22,62,14,1,6,29,2,8,56,.268,.295,3
David Ross,38,6,28,9,0,1,9,1,20,61,.176,.267,2
Tyson Ross,28,6,14,1,1,1,6,0,2,19,.250,.283,1
Darin Ruf,28,30,63,12,0,12,39,1,21,69,.235,.300,7
Carlos Ruiz,36,23,60,13,1,2,22,1,28,43,.211,.290,2
Cameron Rupp,26,24,63,9,1,9,28,0,24,71,.233,.301,2
Chris Rusin*,28,5,10,0,0,1,4,0,0,7,.217,.217,1
Addison Russell,21,60,115,29,1,13,54,4,42,149,.242,.307,6
Jarrod Saltalamacchia#,30,26,45,15,0,9,24,0,23,69,.225,.310,3
Jarrod Saltalamacchia#,30,23,43,14,0,8,23,0,19,57,.251,.332,3
Keyvius Sampson,24,1,0,0,0,0,0,0,0,11,.000,.000,1
Domingo Santana,22,14,28,5,0,6,18,2,18,46,.231,.345,7
Logan Schafer*,28,17,27,6,1,1,6,1,12,29,.221,.299,7
Max Scherzer,30,4,15,0,0,0,0,0,2,23,.217,.239,1
Skip Schumaker*,35,23,59,20,0,1,21,2,23,51,.242,.306,7
Kyle Schwarber*,22,52,57,6,1,16,43,3,36,77,.246,.355,7
Jean Segura,25,57,144,16,5,6,50,25,13,93,.257,.281,6
James Shields,33,7,9,2,0,0,2,0,1,28,.132,.145,1
Andrelton Simmons,25,60,142,23,2,4,44,5,39,48,.265,.321,6
Yangervis Solarte#,27,63,142,33,4,14,63,1,34,56,.270,.320,5
Jorge Soler,23,39,96,18,1,10,47,3,32,121,.262,.324,7
Denard Span*,31,38,74,17,0,5,22,11,25,26,.301,.365,7
Cory Spangenberg*,24,38,82,17,5,4,21,9,28,75,.271,.333,7
Giancarlo Stanton,25,47,74,12,1,27,67,4,34,95,.265,.346,7
Chris Stewart,33,9,46,8,0,0,15,0,6,29,.289,.320,2
Stephen Strasburg,26,1,5,0,0,0,0,0,2,17,.132,.175,1
Drew Stubbs,30,14,22,3,2,5,10,2,9,50,.216,.286,7
Eugenio Suarez,23,42,104,19,2,13,48,4,17,94,.280,.315,6
Andrew Susac,25,14,29,7,2,3,14,0,14,43,.218,.297,2
Ichiro Suzuki*,41,45,91,5,6,1,21,11,31,51,.229,.282,7
Nick Swisher#,34,8,23,5,0,4,17,0,27,30,.195,.349,7
Noah Syndergaard*,22,2,9,1,0,1,4,0,1,26,.209,.227,1
Michael Taylor,24,49,108,15,2,14,63,16,35,158,.229,.282,7
Julio Teheran,24,0,5,0,0,0,2,0,2,9,.096,.130,1
Ruben Tejada,25,36,94,23,0,3,28,2,38,70,.261,.338,6
Yasmany Tomas,24,40,111,19,3,9,48,5,17,110,.273,.305,7
Kelby Tomlinson,25,23,54,6,3,2,20,5,14,40,.303,.358,6
Mark Trumbo,29,23,45,10,3,9,23,0,10,39,.259,.299,7
Troy Tulowitzki,30,46,97,19,0,12,53,0,24,72,.300,.348,6
Justin Turner,30,55,113,26,1,16,60,5,36,71,.294,.370,6
Dan Uggla,35,12,22,4,2,2,16,0,19,40,.183,.298,4
Justin Upton,27,85,136,26,3,26,81,19,68,159,.251,.336,7
Melvin Upton,30,23,53,12,4,5,17,9,21,62,.259,.327,7
Juan Uribe,36,40,91,17,0,14,43,2,34,80,.253,.320,5
Juan Uribe,36,17,43,6,0,7,17,1,15,37,.285,.353,5
Juan Uribe,36,17,28,9,0,6,20,0,14,34,.219,.301,5
Chase Utley*,36,37,79,21,2,8,39,4,32,64,.212,.286,5
Chase Utley*,36,23,54,12,1,5,30,3,22,35,.217,.284,4
Chase Utley*,36,14,25,9,1,3,9,1,10,29,.202,.291,5
Scott Van Slyke,28,19,53,14,0,6,30,3,23,62,.239,.317,7
Will Venable*,32,34,73,10,3,6,30,11,25,73,.258,.318,7
Ryan Vogelsong,37,3,5,1,0,1,2,0,1,13,.139,.162,1
Joey Votto*,31,95,171,33,2,29,80,11,143,135,.314,.459,3
Michael Wacha,23,5,8,1,0,0,4,1,4,20,.154,.214,1
Neil Walker#,29,69,146,32,3,16,71,4,44,110,.269,.328,4
Jayson Werth,36,51,73,16,1,12,42,0,38,84,.221,.302,7
Jerome Williams,33,0,2,1,0,0,1,0,1,14,.065,.094,1
Matt Wisler,22,0,4,0,0,0,1,0,2,6,.138,.194,1
Kolten Wong*,24,71,146,28,4,11,61,15,36,95,.262,.321,4
Alex Wood,24,2,9,2,0,0,4,0,4,34,.164,.220,1
Alex Wood,24,1,5,1,0,0,4,0,3,21,.152,.222,1
Alex Wood,24,1,4,1,0,0,0,0,1,13,.182,.217,1
Travis Wood,28,0,3,0,0,0,2,0,2,16,.100,.156,1
Vance Worley,27,1,3,1,0,0,0,0,0,6,.176,.176,1
David Wright,32,24,44,7,0,5,17,2,22,36,.289,.379,5
Christian Yelich*,23,63,143,30,2,7,44,16,47,101,.300,.366,7
Rafael Ynoa#,27,14,33,8,1,0,9,1,3,28,.260,.277,7
Ryan Zimmerman,30,43,86,25,1,16,73,1,33,79,.249,.308,7
Jordan Zimmermann,29,4,10,1,0,0,3,0,0,18,.159,.159,1
LgAvg per 600 PA,,65,136,27,3,15,62,8,46,126,.252,.315,0
